"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"003a879cd136fec394c37b0a7e8d7c51b36b9147","@","@","Ultimate Risk","@","","","19xx","Petereit, G.C.","@","","[80 column]","","","","","","",""
"@",,"00a586df6eb52c5d94cac3ccbbd7742cfeb217de","@","@","30 Secs Copy C128","@","","Language de","1986","Reiner Koukal","@","","[80 column]","","","","","","",""
"@",,"01581c0d9c821a40e036b43c9748a26033ea9ce4","@","@","Ultima V: Warriors of Destiny","@","","(Disk 3 of 4 Side A); (Towne)","1988","Origin Systems","@","a","a 1","","","","","","",""
"@",,"016e53ee1c39d0eb9669c0af8fc4935ad0d9c1df","@","@","1581 Utility","@","","v 1.0","1987","Commodore","@","","","","","","","","",""
"@",,"0188b3f95842417f986a057210ac5020afb5c308","@","@","C128 Demo #1","@","","","1988","Sphinx","@","","","","","","","","",""
"@",,"01ee1a214a82add1cc4d8e4746a7a61010ff5b58","@","@","Compactor 128","@","","","19xx","@","@","a","a 1","","","","","","",""
"@",,"020fe25480c15858c6a8c37a9c5e76f57d9d9cde","@","@","Mikes Maze","@","","","19xx","Deming, Mike","@","","","","","","","","",""
"@",,"02beade0cb1bba033543c4ee829d09cc6c6d5a15","@","@","Brett-Games 128","@","","","19xx","@","@","a","a 6","","","","","","",""
"@",,"037c2d2d992a8e031e7f765d810cee404d645d93","@","@","Mikes Maze","@","","","19xx","Deming, Mike","@","a","a 1","","","","","","",""
"@",,"03db8f5a3701826fdd37f1bd38133b43b48e8a7d","@","@","C128 World Record","@","","","1988","New Formula Crew","@","","","","","","","","",""
"@",,"04416d3cdc80817b0219accf10ca83868213cbc3","@","@","Thai Boxing","@","","","1986","Anco","@","","","","","","","","",""
"@",,"04838316ef7b6b017d69469c23e5d2daca9b69bf","@","@","Ultima V: Warriors of Destiny","@","","(Disk 2 of 4 Side A); (Britannia)","1988","Origin Systems","@","","","","","","","","",""
"@",,"049752feaa2eaecbfcddf16a27802fc1776e0b7c","@","@","Kik-start 2","@","","","1985","Mastertronic","@","","","","","","","","MHI",""
"@",,"0507610badbd0b469e31c4f3a73f0d4cbfc2e0ee","@","@","Kik-start 2","@","","","1985","Mastertronic","@","a","a 1","","","","","Golden Griffin","",""
"@",,"0511b293ce2aef7d2f533bc0e26cdde9472cbd23","@","@","Textomat Plus C128","@","","","1985","Data Becker","de","b","a utoboot; b 1; [40-80 column]","","","","","","",""
"@",,"052b87c02943e2fbdcd2255d74bf59bce0318679","@","@","VDC Demo 2","@","","","1995/03/03","@","@","","","","","","","","",""
"@",,"061db658da381909f12c73a118826bf92c8db2a1","@","@","Backgammon","@","","","1989","Gerhard Maier","de","","[80 column]","","","","","","",""
"@",,"06697eef36ae1cc901ca2772f6bd99631c0aa2b8","@","@","Ultima V: Warriors of Destiny","@","","(Disk 1 of 4 Side A)","1988","Origin Systems","@","a","a utoboot","","","","","","",""
"@",,"0676cda4a5ebf92c0a0fe04475438d06533d91bc","@","@","Zork 1: The Great Underground Empire r88","@","","","1983","Infocom","@","a","a utoboot; [80 column]","","","","","","Brian Green",""
"@",,"067c3f334d024155ce1b670837783ac3c0da3bac","@","@","1581 Utility","@","","v 1.0","1987","Commodore","@","a","a 1","","","","","","",""
"@",,"06a70d522da288549ff5454510f654d33b63e4eb","@","@","Hearts-128","@","","Copyright Public Domain","19xx","Zielinsky, John","@","","[80 column]","","","","","","",""
