"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"021e78bbc1f2c4ee2e7ca2fa560dd448bdd39798","@","@","Crazy Gobbler","@","","","1982","UA","eu","","","","","","","","",""
"@",,"03cedd5fd67ff11a4ac74d513f03a2266af89446","@","@","Grand Slam Tennis","@","","","1982","UA","eu,us","a","a ka Tennis Yannick Noah","","","","","","",""
"@",,"0514abd6093d81d6bc7f6e5f1d0d5543b08f7157","@","@","Frogger","@","","v 1.03","200x","Amigan Software","@","","","","","","","","",""
"@",,"0c6ce7577a121e7810ec54c5dd180a55dd0ace17","@","@","Crazy Climber","@","","","1982","UA","eu","a","a ka Crazy Wall","","","","","","",""
"@",,"0d96d79d22237312e217d8da8e2185e9245bdf47","@","@","Space Attack","@","","","1982","UA","eu,us","a","a 1","","","","","","",""
"@",,"0fc3a8a33f2e89b2b32ea0a962effcf3ee430d34","@","@","Boxing","@","","","198x","UA","eu","","","","","","","","",""
"@",,"107c864252647a4f3569ff501c8a9a3c7dd6067f","@","@","Capture","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"1148aa1525d7b46640babb50b004c79abec45d3a","@","@","The End","@","End, The","","1982","UA","eu","a","a ka Space Pirates","","","","","","",""
"@",,"1a575203b78af7ac992f109add1721dda8872fc1","@","@","Soccer","@","","","1982","UA","eu,us","a","a ka Football","","","","","","",""
"@",,"1e7f7b81ecd2f766c94bd5ff17763374fb0318f1","@","@","Super Bug","@","","","1983","UA","eu","","","","","","","","",""
"@",,"21eadc7841e0a59671aacca93d28d81c580f16f2","@","@","Battle","@","","","198x","UA","eu","","","","","","","","",""
"@",,"2339e68db23e2257a07616e340085d42aaa5ebdb","@","@","Colours Demo","@","","Copyright Public Domain","19xx","@","@","","","","","","","","",""
"@",,"23d5d52e3403b3e9cd7864a16abac03508db8c97","@","@","Dictionary","@","","","198x","UA","@","","[English + German]","","","","","","",""
"@",,"25a27466dc3ffb6013cd4f632947834002c80105","@","@","Space Attack","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"25c64048c71a7fc96d6c64afd81b7da61bd20be6","@","@","Red Clash","@","","","1982","UA","eu,us","o","o 1","","","","","","",""
"@",,"2e7c8e4263eec7f033019ec763effebca40ca30b","@","@","Parashooter","@","","","1982","UA","eu","a","a ka Parachute","","","","","","",""
"@",,"2feb388ce4a6163fe7856c0d34fa42a0720dd66c","@","@","American Football","@","","","1982","UA","eu,us","o","o 1","","","","","","",""
"@",,"348ca876b1113827d8e7ffb9b2422e863ba92b0f","@","@","Star Chess","@","","","1982","UA","eu,us","a","a ka Video Chess","","","","","","",""
"@",,"359e938391b72742643c81228713fac804ff8244","@","@","American Football","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"389259f1505deef5c0fb83f9cf8b0f7fa4ed5d04","@","@","Dr. Slump","@","","","1983","Bandai","jp","","","","","","","","",""
"@",,"396fe12bd34cc7cd555ad3b9b66f20e56e862385","@","@","Breakaway","@","","","1982","UA","eu,us","a","a ka Evasion","","","","","","",""
"@",,"3d24ab9e42ff44a223bb53c5491dea7f41691df2","@","@","Super Dimension Fortress Macross","@","","","1983","Bandai","jp","","","","","","","","",""
"@",,"444146bf89c3a0e0e010f6a30e675be3f2b023a7","@","@","Ocean Battle","@","","","1982","UA","eu,us","a","a ka Sea Battle","","","","","","",""
"@",,"4b07a88b06008ddfc3676983e826e107caf3ba0f","@","@","Mobile Soldier Gundam","@","","","1983","Bandai","jp","","","","","","","","",""
"@",,"5058e17464ac50f86cd1c297c031b4d0ef063303","@","@","Dictionary","@","","","198x","UA","@","","[English subcart only]","","","","","","",""
"@",,"50e799c96be3613f937825c6c722521bc6df0162","@","@","3D Soccer","@","","","1983","UA","eu","","","","","","","","",""
"@",,"581c7dc666359e76781f3509f6d59b953166eb3a","@","@","Soccer","@","","","1982","UA","eu,us","b","a ka Football; b 1","","","","","","",""
"@",,"6182219b2b8c8747f67d627a056ac947754f0978","@","@","Auto Race","@","","","198x","UA","eu","","","","","","","","",""
"@",,"629330819642e55340aefd438ac30399fd1689c0","@","@","Astro Invaders","@","","","1980","UA","eu","o","o 1","","","","","","",""
"@",,"674472cac0ec4639d5dd0ef0003533feac035442","@","@","JTron","@","","v 1.0","2003","Amigan Software","@","","","","","","","","",""
"@",,"6f6d0c0e2ae06112643c63cb6892f8c7269c98a6","@","@","Route 16","@","","","1983","UA","eu","","","","","","","","",""
"@",,"72dd8dea83bf9ab7d486931516e99b2209ca0a1d","@","@","Horse Racing","@","","","198x","UA","eu","","","","","","","","",""
"@",,"75050c7a98ed6bcb1b89a475277d444d38b8bd6c","@","@","Crazy Climber","@","","","1982","UA","eu","b","a ka Crazy Wall; b 1","","","","","","",""
"@",,"7a6b67d4f83ae01ed39736ab13320dfd9882e546","@","@","Auto Race","@","","","198x","UA","eu","o","o 1","","","","","","",""
"@",,"7a94f4f1768e4c62209cc03adc0fbadb954d2c24","@","@","Red Clash","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"7c9251e42fd03b9c26a13d0e25cdf9a838319a39","@","@","Golf","@","","","198x","UA","eu","","","","","","","","",""
"@",,"7dcc1387892fa7275514c91ce584f83a5d3e14d6","@","@","Grand Prix de Monaco","@","","","1982","UA","eu","","","","","","","","",""
"@",,"87addcdd0fccb5f36066f21938458235d5a37bd0","@","@","Combat","@","","","198x","UA","eu","a","a ka Combat Zone","","","","","","",""
"@",,"87f81511ea5b7a9671fb945cb22bb578bedb47c9","@","@","Escape","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"8d17de81fbf70db8fe32830763c6a940aa9124c3","@","@","Alien Invaders","@","","","1983","UA","eu,us","","","","","","","","",""
"@",,"8d6e32ab3cc872017c597e61c076330015411435","@","@","Jungler","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"90c9ffa6c7439af65b045d1eb552ee7da5082f0b","@","@","Golf","@","","","198x","UA","eu","o","o 1","","","","","","",""
"@",,"93f7526414fc4728913bfc552d0c16b50cb5bffb","@","@","JTron","@","","v 1.1","2003","Amigan Software","@","","","","","","","","",""
"@",,"9754edf8205f478a02dc71f9c30d28938c7cf1b1","@","@","Mobile Soldier Gundam","@","","","1983","Bandai","jp","b","b 1","","","","","","",""
"@",,"9cad42823a13f1d56a664e6078e2b8f415eb97e8","@","@","Dictionary","@","","","198x","UA","@","","[German subcart only]","","","","","","",""
"@",,"9e84d1884a002aafb84682eeb9e1cb2f29944d64","@","@","Space Attack","@","","Language proto","1982","UA","@","","","","","","","","",""
"@",,"a1697ee165307792f07fdd7767122140958a4e9f","@","@","Space Vultures","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"a16fda96d00c8b08bb362f2573a45939aa6be051","@","@","Doraemon","@","","","1983","Bandai","jp","","","","","","","","",""
"@",,"a2f3d269e422e6ee89d58f001d39438704178e17","@","@","Nibblemen","@","","","1982","UA","eu","a","a ka Devilman - The Dot Muncher","","","","","","",""
"@",,"a46fa9cbc12cb83218d3936ec3f4d0a4aff8cd60","@","@","Space Mission","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"a806e3f248a962bb99e2515f489d45bb11fb0a0e","@","@","Turtles Turpin","@","","","1982","UA","eu","","","","","","","","",""
"@",,"a8afadfcaea847c2e998005652ace36803d6601b","@","@","Blackjack & Poker","@","","","198x","UA","eu","","","","","","","","",""
"@",,"acb45a8314fe531390d1c58be23ae860fa344c94","@","@","Robot Killer","@","","","1982","UA","eu","","","","","","","","",""
"@",,"b0982ed95d92a4d97a5451acbee36af10ff99a3f","@","@","Cat Trax","@","","","1982","UA","eu,us","","","","","","","","",""
