"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"00078d08eb5b78056171ab838a4b9a95beab98ef","@","@","Graphic Writer III","@","","v 1.1; (Disk 2 of 2)","1989","Seven Hills Software","@","","","","","","","","",""
"@",,"0009602f0967f9cc2776b365181e7b641df88977","@","@","RADE","@","","Copyright Freeware","1992","Morgan Davis Group","@","","","","","","","","",""
"@",,"00171eb7266cea500d2d110be6e8b8c29df1c631","@","@","King's Quest III","@","","(Disk 2 of 2)","1988","Sierra","@","","","","","","","","",""
"@",,"003817c0181b55632e59ffc74e63df3eec6b9bbb","@","@","Tass Times In Tonetown","@","","","1986","Activision","@","","","","","","","","",""
"@",,"00434324af78e4c88f878093715c87ebaccabcb5","@","@","The Immortal","@","Immortal, The","(Disk 1 of 2)","1990","Electronic Arts","@","","","","","","","","",""
"@",,"00455ad419ef4a2e91d9635bd1ad35f47ff3aa46","@","@","The Secrets of Bahras","@","Secrets of Bahras, The","(Disk 2 of 3)","1991","Victory Software","@","","","","","","","","",""
"@",,"0057713e1d6dc73ae9473449f1d18fa9c113f954","@","@","Sinbad And The Throne of The Falcon","@","","(Disk 2 of 2)","1990","Cinemaware","@","","","","","","","","",""
"@",,"008330102aaf66defb40dd328bab204a2182232a","@","@","California Games","@","","","1988","Epyx","@","","","","","","","1","",""
"@",,"009b01b6fd26d17ea93308df4aa47bc3ae849a1e","@","@","The Lost Treasures of Infocom","@","Lost Treasures of Infocom, The","(Disk 1 of 7)","1993","Big Red Computer Club","@","a","a 2","","","","","","",""
"@",,"00e1f215214be0795aab4900902732289b9dac1f","@","@","Mighty Marvel Vs The Forces of Evil","@","","(Disk 1 of 2)","1988","ISM","@","a","a 1","","","","","","",""
"@",,"0112cca27564132a724d16856bf18798a879d10c","@","@","Disc Commander","@","","Copyright Freeware","1987","So What Software","@","","","","","","","","",""
"@",,"0121f6e462819dcf08489fa341aee95d952c65f0","@","@","DE Xmas","@","","","1993/12","Digital Exodus","@","","","","","","","","",""
"@",,"012db2c56d4bec7e22410369c1e42b15d6ca2fdd","@","@","Cogito","@","","Copyright Freeware","1992","Brutal Deluxe","@","","","","","","","","",""
"@",,"022d2f5d68d9ea97a3307a604e9bf0dacc1e7be8","@","@","King's Quest IV","@","","(Disk 1 of 3)","1989","Sierra","@","","","","","","","","",""
"@",,"022f04880e1682a1db808c53b4458776494dbc59","@","@","Roadwar 2000","@","","","1987","SSI","@","a","a 2","","","","","","",""
"@",,"028b47bca8dfe3e5a30ce1e58ced78ca65252f50","@","@","ECC Demo","@","","","1990","East-Coast Connection","@","","","","","","","","",""
"@",,"02f1aa2915ac4fc658cf5dc1181bb4ed6e75661e","@","@","FUN Instruments Volume 2","@","","","19xx","@","@","","","","","","","","",""
"@",,"03046ab65eb885152a9ed43be0a1c139514baad9","@","@","FAXination","@","","","1995","Vitesse Software","@","","","","","","","","",""
"@",,"0380a8e576b9503fce7c9da225df92bc41c8dcd6","@","@","Trans Prog III","@","","","199x","Seven Hills Software","@","","","","","","","","",""
"@",,"0390678ba23f57c918ffffafa0291ec8273be2d6","@","@","Gold Rush","@","","(Disk 1 of 4)","1989","Sierra","@","a","a 2","","","","","","",""
"@",,"03e5c1ed2fb724adcc06571060d7a363a4aedde4","@","@","Silpheed","@","","(Disk 2 of 2)","1988","Sierra","@","a","a 2","","","","","","",""
"@",,"03edad1e3b669abe41fcff24436d205af329ea62","@","@","Talking Dinosaurs","@","","","1989","Orange Cherry","@","","","","","","","","",""
"@",,"0411f05d08b53c73bee8feab85870c30b5dbbeae","@","@","Stickybear Talking ABC","@","","(Disk 2 of 2)","1988","Weekly Reader Software","@","","","","","","","","",""
"@",,"051cecb8630a113195457dec41c59945f0c94abf","@","@","Designer Puzzles","@","","","1990","MECC","us","","","","","","","","",""
"@",,"0553ba75bfc63397d5041f85944fc194247ac6da","@","@","Space Quest I: The Sarien Encounter","@","","(Disk 2 of 2)","1987","Sierra","@","a","a 1","","","","","","",""
"@",,"05982f31d8aeaea45c5dab0e24b5ad036d6566ca","@","@","System 5.0.4","@","","Copyright Freeware; (Disk 2 of 2)","1989","Apple","@","","","","","","","","",""
"@",,"05cf344e7a6a70bd712f4ce5e41828c9d38cf828","@","@","Last Rites Demo","@","","","19xx","Bullwinkle Moose - Corrosive Software","@","b","b 1","","","","","","",""
"@",,"05eff35bfa66223e104ca3167f6b913c83601592","@","@","Super Menu Pack","@","","","1993","Seven Hills Software","@","","","","","","","","",""
"@",,"05fee3a3ccd8e542b480917f31448d5749845bc1","@","@","Hover Blade","@","","(Disk 1 of 2)","1991","MCX","@","","","","","","","","",""
"@",,"06187434085a14f9041a17075110a9ee1014078a","@","@","Strategic Conquest","@","","","1986","PBI Software","@","","","","","","","","",""
"@",,"0633926aa98a4404a18abcc86aa972d82fb42447","@","@","Gnarly Golf","@","","(Disk 2 of 2)","1989","Fanfare","@","a","a 1","","","","","","",""
"@",,"06422686e6f23784fcbf2395f591126b9d65ecff","@","@","Your Tour of The Apple IIGS","@","","Copyright Freeware","1989","Apple","@","","","","","","","","",""
"@",,"068d5f1d497001c71dc918d60e4701b0e30d5f9d","@","@","MD-BASIC","@","","v 1.1; Copyright Freeware","1989","Morgan Davis Group","@","","","","","","","","",""
"@",,"06ee81b39fc2c93b45dbb3e1a09f65f2dbaf8dda","@","@","Milliken Story Teller","@","","(Disk 2 of 7); (Aladdin & the Magic Lamp)","1989","Milliken","@","","","","","","","","",""
"@",,"06f05c51af4437133f54f8c1cc105574e6a2ec68","@","@","DiversiSoft","@","","","1990","Diversified Software Research","@","","","","","","","","",""
"@",,"071329f3e8c303086a576fd47d85dccc4f57ee2d","@","@","Music Studio 2.0","@","","(Disk 2 of 2)","1987","Activision","@","","","","","","","","",""
"@",,"072f54f8fc96b40c72a41b0ca57fc6ec49af6dd0","@","@","Clip Art Gallery","@","","","1987","Activision","@","","","","","","","","",""
"@",,"074fa91e489d7d861a66f3e745e9dd7cd9c2e823","@","@","Hardball!","@","","","1987","Accolade","@","","","","","","","","",""
"@",,"0755c76b3f745ce798870cf43a47f478d7fd8224","@","@","Manhunter: New York","@","","(Disk 1 of 4)","1988","Sierra","@","","","","","","","","",""
"@",,"075d4a2c0df95a4c4dfa94e7e3eeda7e205ff45e","@","@","Halls of Montezuma","@","","(Disk 2 of 2)","1990","SSG","@","","","","","","","","",""
"@",,"07cf3291b48e01ea8545eaf542d2405f81dd0080","@","@","Talking Numbers","@","","","1989","Orange Cherry","@","","","","","","","","",""
"@",,"07d9143d090526412d2792a89bb6fddb2dbed30f","@","@","The Cryllan Mission 2088: The Second Scenario","@","Cryllan Mission 2088: The Second Scenario, The","(Disk 3 of 3); (Outdoor)","1990","Victory Software","@","a","a 1","","","","","","",""
"@",,"084cf0b8e0db0be8f7291701cba54d2c4bcc0571","@","@","Manhunter: New York","@","","(Disk 2 of 4)","1988","Sierra","@","","","","","","","","",""
"@",,"0855102a363af5fc00298a23c28b381419ac6503","@","@","The Fidelity: Chessmaster 2100","@","Fidelity: Chessmaster 2100, The","(Disk 2 of 2)","1988","The Software Toolworks","@","","","","","","","","",""
"@",,"0882b93fdc0d30dd733f3ad3e7a7a96ba05cb9ca","@","@","Where in the World is Carmen Sandiego","@","","Language fr; (Disk 2 of 2)","1989","Broderbund","@","","","","","","","","",""
