"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"2 Pak Special",,96e42866669225c1a8c078c263e16703d080ffdf,,,"2 Pak Special Blue - Dungeon Master & Creature Strike",,,"Video PAL",1992,HES,au,,,,,,,,,,,,
"2 Pak Special",,05664dcc45d02ce585cd79d551c5c20fc2c7a833,,,"2 Pak Special Black - Challenge & Surfing",,,"Video PAL",1990,HES,au,,,,,,,,,,,,
"2 Pak Special",,f4885610503bff2c4ca816f4f28d1fe517b92f35,,,"2 Pak Special Yellow - Star Warrior & Frogger",,,"Video PAL",1990,HES,au,,,,,,,,,,,,
"2 Pak Special",,9678493b34a899e2ecda89ad315fa533e0414cd9,,,"2 Pak Special Light Green - Hoppy & Alien Force",,,"Video PAL",1992,HES,au,a,"a 1",,,,,,,,,,
"2 Pak Special",,6ad5c412304ef92af37ede1d8fe42ec484dac004,,,"2 Pak Special Orange - Space Voyage & Fire Alert",,,"Video PAL",1992,HES,au,,,,,,,,,,,,
"2 Pak Special",,f2fa7573b250c804ff2a19da43517687fe310c3f,,,"2 Pak Special Black - Challenge & Surfing",,,"Video PAL",1990,HES,au,a,"a 1",,,,,,,,,,
"2 Pak Special",,35a40b0855eb2d468371301df380cb8f987c3c6b,,,,,,"(Black) - Challenge, Surfing (1990) (HES) (PAL) [b1]",,,,,,,,,,,,,,,
"2 Pak Special",,5fbb26429d8d17f7a4ac70f497775e29b14f7f2a,,,"2 Pak Special Yellow - Star Warrior & Frogger",,,"Video PAL",1990,HES,au,b,"b 1",,,,,,,,,,
"2 Pak Special",,bf069a4dd5b65403beea6cc60d91206577ea1c0e,,,"2 Pak Special Magenta - Cavern Blaster & City War",,,"Video PAL",1992,HES,au,,,,,,,,,,,,
"2 Pak Special",,40058f86488c905a67cfb3f6595dbb4d62150011,,,"2 Pak Special Dark Blue - Wall Defender & Planet Patrol",,,"Video PAL",1990,HES,au,,,,,,,,,,,,
"2 Pak Special",,4637ef3bc511d1d0e8788d7121278de0dfb5d5b0,,,"2 Pak Special Yellow - Star Warrior & Frogger",,,"Video PAL",1990,HES,au,a,"a 1",,,,,,,,,,
"2 Pak Special",,0c5ed716e4477f8e22f6dd5e62756cd618ac154b,,,"2 Pak Special Green - Dolphin & Pigs 'N Wolf",,,"Video PAL",1990,HES,au,,,,,,,,,,,,
"2 Pak Special",,9f4d9ebefe32e0766757209f13665daa1fd67c00,,,,,,"(Green) - Dolphin, Pigs 'N Wolf (1990) (HES) (PAL) [b1]",,,,,,,,,,,,,,,
"2 Pak Special",,b08c6e94becadd76a7be0d473622a698f00255ef,,,"2 Pak Special Light Green - Hoppy & Alien Force",,,"Video PAL",1992,HES,au,,,,,,,,,,,,
"2 Pak Special",,a391dc357f8aa0c5068e09c874fca90da6b04e43,,,,,,"(Yellow) - Star Warrior, Frogger (1990) (HES) (PAL) [b2]",,,,,,,,,,,,,,,
"2 Pak Special",,bfcc35feee3713f5028122844d027c88a84772b6,,,"2 Pak Special Red - Motocross & Boom Bang",,,"Video PAL",1990,HES,au,,,,,,,,,,,,
32-in-1,,97ffc252438a5c9361096a1151bdbf79bd717cb3,,,"32-in-1 Game Cartridge",,,"Video PAL",1988,Atari,,,,,,,,,,,,,
32-in-1,,7f73604b06ad263e2fe27b1717f741968792ab4c,,,"32-in-1 Game Cartridge",,,"Video PAL",1988,Atari,,b,"b 1",,,,,,,,,,
"3-D Tic-Tac-Toe",,c497f97fb4f140b875728a636e3a46c8d0804e1c,,,,,,"Video PAL",1978,Atari,,b,"o 1; b 1",,,,,,,,,,
"3-D Tic-Tac-Toe",,6b163aa967e4204a5bd98a59bd8e80f159004e34,,,,,,"Video PAL",1978,Atari,,,,,,,,,,,,,
"3-D Tic-Tac-Toe",,e5a370e4f9531836e5b12951e44ea4a4afe9f5d7,,,,,,"Video PAL",1978,Atari,,o,"o 1",,,,1,,,,,,
"3-D Tic-Tac-Toe",,f93a1067958a17c14ee72c6b611cffc16901f58b,,,,,,"Video NTSC",1978,Atari,,o,"o 1",,,,,,,,,,
"3-D Tic-Tac-Toe",,fd8f2a6eb9248227edca6ae60de93ca38c0ed2ea,,,"32-in-1 - 03 - 3-D Tic-Tac-Toe",,,"Video PAL",1988,Atari,,,,,,,,,,,,,
"3-D Tic-Tac-Toe",,21d983f2f52b84c22ecae84b0943678ae2c31c10,,,,,,"Video NTSC",1978,Atari,,,,,,,,,,,,,
"Acid Drop",,d7c62df8300a68b21ce672cfaa4d0f2f4b3d0ce1,,,,,,"Video PAL",1992,Salu,,,,,,,,,,,,,
"Acid Drop",,66216ed98295f3fde35a0cc9398b4f2fc79f2375,,,,,,"Video PAL",1992,Salu,,b,"b 1",,,,,,,,,,
"Acid Drop",,2ad5e47e360842bb5f9c23bbe2c19866d890f427,,,,,,"Video NTSC",1992,Salu,,,,"NTSC Jentzsch, Thomas",,,,,,,,,
Adventure,,c15ec475c99155fca7d64a38d6f794d14b60f39f,,,"Adventure Black_dfd",,,"(Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,29ca2ef2b2d4be5e683dc6ffaa61b5f49b6a9993,,,"Adventure Plus 35",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,d4fdd636674049f2ff6679c409b959fef6af28f1,,,"Adventure Plus 85",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,141eadce04bb7d4b0837e6d9e7cb32ff73bc138f,,,"Adventure FREE by Nukey Shay",,,"(Adventure Plus Hack)",,,,,,,,,,,,,,,
Adventure,,663c584de832af86a9a6ae630a0215ecbb4cc51c,,,"Adventure Plus 22",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,5b4be0edad75f37d5626938a5c3db58c112d7fd1,,,"Adventure Hack2",,,"(Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,81c404ae16f9884e078ebb7e74981b1e17733bce,,,"Adventure Plus 66",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,44b774de2185dd44955e09c95ba4867b7fe537da,,,"Adventure Plus 80",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,b61d1bc63bdeb2fdddf8561c950db3f08188a6a8,,,"Adventure 8k",,,"(4 dragons, 5 keys, 2 bats, 64 rooms - xray version) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,2a818e6341ed61df031a594984bc6636248cc98b,,,"Adventure Plus 57",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,29ebc243e0aa37dd5039ba68cdc507ec193cbf7a,,,"Adventure Plus 40",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,ec23bbea83cf47277482e775ad58ac8e6d1483fe,,,,,,"Video PAL",1978,Atari,,,,,,,,,,,,,
Adventure,,e5bf06a297e1fa5c48ab2063880a995d8d7797e2,,,"Adventure Plus 20",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,eca01420ab9fbf46c56d2c38db55b92bc77aadd5,,,"Suicide Adventure v3 by George Veeder",,,"(Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,848b43561cd76128f18643b9a57a82028ee168d7,,,"Adventure...Bigger and Badder Demo",,,"(Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,96b2f9e79db6a25f7aa7736f66d5fe5e56d04bd8,,,"Adventure Plus 89",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,173875dedb982a535cdfe7892fae6e1302e7629c,,,"Adventure Plus 39",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,25f64f1563dde7068461089faf2585e07f893e86,,,"Miss Adventure",,,"(Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,9875b8860c2058d91c2bc7fabe8ea611bc4075a3,,,"Adventure Plus 45",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,e59781ac34bba1a041e852228556590ad64d8fa2,,,"Adventure Plus 86",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
Adventure,,8501444b12f7f9e2103cd2bcf0c8d3f5b7536569,,,"Adventure II",,,,19xx,,,,[Adventure],,,,,,,1,,,
Adventure,,c023a3f726500fb92cce3ed15c0669143bacf317,,,"Adventure Plus 30",,,"(2003) (Steve Engelhardt) (Adventure Hack)",,,,,,,,,,,,,,,
