"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Weapons Of Maths Destruction",,00975bfd9af39fc8c6b1277264c8be9e82e4b2b4,,,,,"weapons of maths destruction",,,,,?,,,,,,,,,,,,
"Dibuja A Tu Jefe",,00b0cc53295e546097ee8ac814810bd917ee4668,,,,,"dibuja a tu jefe",,,,,?,,,,,,,,,,,,
"Mega Miner",,00f1352f5ed8ec595b2b9cb4a5e301c8b628c08d,,,,,"mega miner",,,,,?,,,,,,,,,,,,
"Foofarace 2",,00f2b8df23c9ceac823082bf3de525e34e664b9e,,,,,"foofarace 2",,,,,?,,,,,,,,,,,,
"Kamikaze Pigs",,0149ae241396b4ee1e5d3ff22a43da4360e22ec8,,,,,,,,,,?,,,,,,,,,,,,
"Kamikaze Pigs",,0149ae241396b4ee1e5d3ff22a43da4360e22ec8,,,,,"kamikaze pigs",,,,,?,,,,,,,,,,,,
Type,,01837947e6b630cc229082902f4d27e7d279967b,,,,,type,,,,,?,,,,,,,,,,,,
"Snake Pongonoid 2000",,025129617c9775af7ffc4414fee23b8a8da2daab,,,,,"snake pongonoid 2000",,,,,?,,,,,,,,,,,,
"4 Wheel Madness",,02fd3d3c2e9a12f0d9a49180f5b521de7fa42a96,,,,,"4 wheel madness",,,,,?,,,,,,,,,,,,
"Elemental Balance",,0307401c3197f86a3f3ec2249402f2ed1631b570,,,,,,,,,,?,,,,,,,,,,,,
"Elemental Balance",,0307401c3197f86a3f3ec2249402f2ed1631b570,,,,,"elemental balance",,,,,?,,,,,,,,,,,,
"Rocket Panda: Flying Cookie Quest",,03f98748c25e0680c702788d062c6e9d100459e6,,,,,,,,,,?,,,,,,,,,,,,
"Rocket Panda: Flying Cookie Quest",,03f98748c25e0680c702788d062c6e9d100459e6,,,,,"rocket panda: flying cookie quest",,,,,?,,,,,,,,,,,,
Ar3,,04048cf1d5e7974e7bc1ef9aadb51c7370d59764,,,,,ar3,,,,,?,,,,,,,,,,,,
"Just Shut-Up!",,0417a16b5583ec7c3967924fd325b75c9ecd4ca4,,,,,"just shut-up!",,,,,?,,,,,,,,,,,,
"Homerun In Berzerk Land",,044d80d9c5ba349862ee2ce8e1c278805c9bcbd3,,,,,"homerun in berzerk land",,,,,?,,,,,,,,,,,,
"Cyclomaniacs Epic",,0473902ba4d602153010e1276a591b96320d13d3,,,,,"cyclomaniacs epic",,,,,?,,,,,,,,,,,,
"Boxhead Rooms",,0478657bc32b9e43a49c404f821fd4865b9dc219,,,"Boxhead: The Rooms",,"boxhead: the rooms",,,"Crazy Monkey",,?,,,,,,,,,,,,
"Jail Break: The Game",,04d5a5bfb74dba7f6613d9f82eca2a77f8bff2f3,,,,,"jail break: the game",,,,,?,,,,,,,,,,,,
"Thing Thing",,04fc94e98794dae3d9ff2e5662112016eb3e7295,,,,,"thing thing",,,"Crazy Monkey",,?,,,,,,,,,,,,
