"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
BEST,,03328f40392f5abfe4dd4abc99fd781b26075261,,,,,,,,,,?,,,,,,,,,,,,
TREEDM1,,0610de64512d1e791f4f561047c62581d1cf13b5,,,,,,,,,,?,,,,,,,,,,,,
APOCALYP,,09ba56f758d3dde889aa014361c4daf72cf1c4f0,,,"The Apocalypse Project",,"Apocalypse Project",,,,,,,,,,,,,,e1m1,,,
CANYON,,0bd8dc8810dacf76f2a747ed47cfc7afba284052,,,,,,,,,,?,,,,,,,,,,,,
ACASTLE2,,0c08d2a0ab1c052e339a35d6ee7145f12a6f15f4,,,"A Castle",,Castle,v2,,,xw,!,,,,,,,,,e1m4,,,
AT_WORK,,0ea60b0c8ffc559c8fcd7b520cbd05931d211b8d,,,,,,,,,,,,,,,,,,,,,,
CORE,,1034e1eeae7ed6e02e4df8c7de9010f912322f79,,,,,,,,,,?,,,,,,,,,,,,
APOCLPSE,,11f0cb1f4603dc3d77104c7e61452913e73410cb,,,Apocalypse,,,,,,,!,,,,,,,,,e1m1,,,
AMBUSH,,1502de0356b71b86d5beda0555c1e27d3ea1d4e9,,,Ambush,,,,,,,,,,,,,,,,e1m1,,,
TIME3DIE,,1600437f326919a97e565ac7d950a2537efce741,,,,,,,,,,?,,,,,,,,,,,,
BLT,,18a12f2822a60a778f563976b44488484285d881,,,,,,,,,,?,,,,,,,,,,,,
corr2,,18cf63697541278583095f57cd26074efc8fc37b,,,,,,,,,,?,,,,,,,,,,,,
CRESCENT,,1d61a1822f29d236578cd4ef00a19aafc37a51d2,,,,,,,,,,?,,,,,,,,,,,,
cor81,,1dec0f8111af8726a897a495b671ed2ee3d6715a,,,,,,,,,,?,,,,,,,,,,,,
CLASH,,1df6af84d28b83953681a372fb8d38fd16afd689,,,,,,,,,,?,,,,,,,,,,,,
EPI1BEST,,1e1cd23f992891a459e92358e30888c738b3a208,,,,,,,,,,?,,,,,,,,,,,,
COMCON,,22529df00f4ac4f67db2c53b8a7919d3c12f45d5,,,,,,,,,,?,,,,,,,,,,,,
BILBO11,,225858c80f1a6278e4b408b9553793312c3fade4,,,,,,,,,,?,,,,,,,,,,,,
BASE,,2541369c8209e4c906ed4251bf43dba55317d56d,,,"The REAL Military Base",,,,,,,,,,,,,,,,e1m1,,,
LAKE4,,257fc047ce20f5fec956831d88e1ab2a936ba7da,,,,,,,,,,?,,,,,,,,,,,,
