"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
RANDOM,,00134931a5175edbc9ad1d602453a33c759df123,,,,,,,,,,?,,,,,,,,,,,,
INTZONE,,01a277bc66d9526b569b6a90000bb1ea13307ecb,,,,,,,,,,?,,,,,,,,,,,,
MKHALLS,,03eb5a05f2dd403c084a586912fd944d8043abb7,,,,,,,,,,,,,,,,,,,,,,
TREEDM1,,0610de64512d1e791f4f561047c62581d1cf13b5,,,,,,,,,,?,,,,,,,,,,,,
RAVEN3,,06a847cd64293213e23d229d0c50e40eee0340db,,,,,,,,,,?,,,,,,,,,,,,
FIRESTM2,,07f6fd1f948002eab13121559710e7f4083c65a1,,,,,,,,,,,,,,,,,,,,,,
AXE6,,07f97e63de1cf5cf03fb7469d88aac88e1bbfe3f,,,,,,,,,,?,,,,,,,,,,,,
HELLV10,,09f55ba3c01b55211e0d1055780410d8ad8cc81c,,,,,,,,,,?,,,,,,,,,,,,
PINATA2,,0ad12b7a13b97abc6edea0244cfd0d4555fd0ea2,,,,,,,,,,?,,,,,,,,,,,,
PUZZLER,,0b24cdc605ab80e4b87b020e94edc96f040f2587,,,,,,,,,,?,,,,,,,,,,,,
BAD3,,0b881365878828eb2d2e3cb18250a6a372d70646,,,,,,,,,,,,,,,,,,,,,,
HXLEDSMP,,0c8696f675728d915e2877b10745673192267b34,,,,,,,,,,?,,,,,,,,,,,,
PSYCHO,,11fc5d1b0f8e880fc62c2ecc2e76323e46790c8a,,,,,,,,,,,,,,,,,,,,,,
DETHZONE,,13154285928ad94236169d90a5a0c47d4d209301,,,,,,,,,,,,,,,,,,,,,,
PIGGY,,1369869c1724085c9702ef5b4b5d09d78be02317,,,,,,,,,,,,,,,,,,,,,,
DMCAT04!,,13a25015e35da879f51c4a3030bbcfe7b2217d16,,,,,,,,,,?,,,,,,,,,,,,
DEADMAN2,,176f38b17f2069a6e1b2ee8d879e03ce9410e9d3,,,,,,,,,,?,,,,,,,,,,,,
BLSIDE2,,19c122e5985a7dc27fe5f9c541008d68fa473ad6,,,,,,,,,,?,,,,,,,,,,,,
DIETH,,1d2233dff5204f93adffa1fbb42ce435f3497813,,,,,,,,,,?,,,,,,,,,,,,
NOWAY,,1f28ad5d59017abb2ed6fa5adb4747ee41a2418e,,,,,,,,,,,,,,,,,,,,,,
