"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Metal Slug: 1st Mission",,00f1134914559886f0f40754f98d10d405799505,,,,,,,1999,SNK,xw,,,,,,,,,*,@,,,
@,,02ecedcfa4d12f8b7d4c9577fc9fe06a26c760a4,,,"Napalm Neo-Neo! Demo",,,v1.2,2000,Napalm,@,@,@,@,@,@,@,@,@,@,@,,,
@,,03b22048cb8523981d33fd275570942107fc93e3,,,"Cool Cool Jam",,,@,2000,SNK,jp,b,@,@,@,@,@,@,@,@,@,,,
"Pocket Reversi",,0405bbf7ab34c818f52793aca80a73ab40788cac,,,,,,,2000,"Itsui | Success",eu-us,b,,,,,,,,,@,,,
"Puzzle Link",,048b85a8e8e0cbd9324bc373fc875288f81c21db,,,"Renketsu Puzzle Tsunagete Pon! Color",,,,1999,Yumekobo,jp,?,,,,,,,,,@,,,
Faselei!,,04a65a7529098bfb2295ab4bc3782ea45ec116ee,,,,,,,1999,Sacnoth,jp,?,,,,,,,,,@,,,
@,,04e26e797c77539d4f19e3d80ea66847c598d3db,,,Thieves,,,@,2000,"Mackintosh, Ivan",@,@,@,@,@,@,@,@,@,@,@,,,
"King of Fighters R-2",,05d60a095ceb82cb73ff2ec7b8542c978044e370,,,,,,,1999,SNK,,?,,,,,,,,*,@,,,
"Magical Drop Pocket",,05ebf0147961eda2ed804dc369cd0a4dee923c9c,,,,,,,1999,"Data East",eu-us,?,,,,,,,,,@,,,
@,,0620ac2885ff2153071b06ea91bc2aaa5f2f835a,,,"Hicolor Picture",,,@,2000,"Soft'n Fuzzy",@,@,@,@,@,@,@,@,@,@,@,,,
@,,067d3a23e8c0f0008e47392fcf2b664d996a0746,,,"SOD Chess",,,v1.1.0,2002,Thor,@,@,@,@,@,@,@,@,@,@,@,,,
"Metal Slug: 1st Mission",,06f858836f02459803f4a7db3efb591c1c5e5c49,,,,,,,1999,SNK,xw,,,,,,,,,,@,,,
@,,076e56caf0426d401022a0a06f8aac495bc51c2a,,,"Multi Game Menu",,,v1.2,2000,"Bagley, Jim | Mackintosh, Ivan",@,@,@,@,@,@,@,@,@,@,@,,,
@,,081b8d2aa7daa01cb45633de33135c5001f38bf0,,,"Hardware Test",,,@,199x,@,@,@,@,@,@,@,@,@,@,@,@,,,
@,,0994d097de6be7d5e3646ed3664c01dc709d1e6b,,,"Barbarian: The Ultimate Warrior",,"Barbarian - Ultimate Warrior",v1.1,200x,"Julien, Loic",@,@,@,@,@,@,@,@,@,@,@,,,
@,,099a835930209a6ec15b7e9092c086b6e7a4ad9e,,,"Metal Slug: 2nd Mission",,,Demo,2000,SNK,@,@,@,@,@,@,@,@,@,@,@,,,
"SNK Gals Fighters",,09a74b42ef9b63aca675aead5854512ad0b585a1,,,,,,,2000,SNK,eu-us,!,,,,,,,,,@,,,
@,,0a0a55f9a8c79fd0ecd3c763d313a811a7b2cb15,,,Fractal,,,v1.0,2000,"Slanina, Tomasz",@,@,@,@,@,@,@,@,@,@,@,,,
"King of Fighters R-2",,0a6b2653bd4b3822d2c2cec9e6ced24cf35a1e7b,,,,,,,1999,SNK,xw,,,,,,,,,,@,,,
"Dive Alert",,0abdf64dd402a8192b0af8127a6ee214173dfe3c,,,"Dive Alert: Matt's Version",,,,1999,Sacnoth,eu-us,?,,,,,,,,,@,,,
@,,0d038e861501cd4ac098e74e6a0b05016de86029,,,Maze,,,v1.04,2000,"Siebold, Jeff",@,@,@,@,@,@,@,@,@,@,@,,,
"Neo Mystery Bonus",,0d137a2cac0a03ab55dfeb4dbaf3929477cfb5d0,,,,,,,1999,Dyna,xw,!,,,,,,,,,@,,,
"Cool Cool Jam",,0e2dca27ca1f7b0574baabae73ffad34884fabee,,,,,,,2000,SNK,jp,b,,,,,,,,,@,,,
"King of Fighters R-2",,0fee8f5d070dc84b5d5e921e11618cddb0917d78,,,,,,,1999,SNK,xw,,,,,,,,,,@,,,
@,,103f9ce474b4ce1684161b3b8982938c1d7d8169,,,"Space Invaders",,,@,2000,"Bagley, Jim",@,@,@,@,@,@,*,@,@,@,@,,,
@,,1177416301ca30a2646e2e007fe93c513afb39ee,,,"Another Day in Hell",,,@,2005,"Iceman | Thor",@,@,@,@,@,@,@,@,@,@,@,,,
@,,1197b4b94ba3141cd6cf5c4cbb625685876e0273,,,Fractal,,,v1.0,2000,"Slanina, Tomasz",@,b,@,@,@,@,@,@,@,@,@,,,
