"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,016e53ee1c39d0eb9669c0af8fc4935ad0d9c1df,,,"1581 Utility",@,,"v 1.0",1987,Commodore,@,,,,,,,,,,,,
@,,0188b3f95842417f986a057210ac5020afb5c308,,,"C128 Demo #1",@,,,1988,Sphinx,@,,,,,,,,,,,,
@,,020fe25480c15858c6a8c37a9c5e76f57d9d9cde,,,"Mikes Maze",@,,,19xx,"Mike Deming",@,,,,,,,,,,,,
@,,02beade0cb1bba033543c4ee829d09cc6c6d5a15,,,"Brett-Games 128",@,,,19xx,@,@,a,"a 6",,,,,,,,,,
@,,037c2d2d992a8e031e7f765d810cee404d645d93,,,"Mikes Maze",@,,,19xx,"Mike Deming",@,a,"a 1",,,,,,,,,,
@,,03db8f5a3701826fdd37f1bd38133b43b48e8a7d,,,"C128 World Record",@,,,1988,"New Formula Crew",@,,,,,,,,,,,,
"Thai Boxing",,04416d3cdc80817b0219accf10ca83868213cbc3,,,"Thai Boxing",,,,1986,Anco,,,,,,,,,,,,,
"Kik-start 2",,049752feaa2eaecbfcddf16a27802fc1776e0b7c,,,"Kik-start 2",,,,1985,Mastertronic,,,,,,,,,,,,,
@,,0507610badbd0b469e31c4f3a73f0d4cbfc2e0ee,,,"Kik-start 2",@,,,1985,Mastertronic,@,a,"a 1",,,,,"Golden Griffin",,,,,
@,,0511b293ce2aef7d2f533bc0e26cdde9472cbd23,,,"Textomat Plus C128",@,,,1985,"Data Becker",de,b,"a utoboot; b 1; [40-80 column]",,,,,,,,,,
@,,052b87c02943e2fbdcd2255d74bf59bce0318679,,,"VDC Demo 2",@,,,1995/03/03,@,@,,,,,,,,,,,,
@,,061db658da381909f12c73a118826bf92c8db2a1,,,Backgammon,@,,,1989,"Gerhard Maier",de,,"[80 column]",,,,,,,,,,
Hearts-128,,06a70d522da288549ff5454510f654d33b63e4eb,,,Hearts-128,,,"Copyright Public Domain",19xx,"John Zielinsky",,,"[80 column]",,,,,,,,,,
@,,07100006349f8329cf130f04f0306ed19d57fa15,,,"gateWay 128",@,,,1996,"Creative Micro Designs",@,a,"a 2; [Req GEOS]",,,,,,,,,,
@,,07b29b0849b5bbdf97ba2cd3c2692007e8f88bb4,,,Solitaire-80,@,,,1992/08,"Aaron Peromsik",@,a,"a utoboot; [80 column]",,,,,,,,,,
@,,0956a7a1c8b7def3391c58548747742f218178fa,,,"Kickstart 2",@,,,1985,"Mr. Chip",@,,,,,,,,,,,,
"Risen from Oblivion",,09ab66ff47fa1fa61decb1239d37c3ad80cfe9e4,,,"Risen from Oblivion",,,"(Side B)",2001,"Crest - Oxyron",,a,"a utoboot",,,,,,,,,,
"Das Ding",,09c61a96591cd60037fcb691398c4be66be93e75,,,"Das Ding",,,,1988,"Christian Nöth",de,,"[80 column]",,,,,,,,,,
@,,0bff18ed85a79690262eaacb4c60bb9510a4b43f,,,"Adventure Games 128",@,,,19xx,@,@,a,"a 1",,,,,,,,,,
@,,0c77141d9f23af17f89ddf66cab518ee47d88594,,,"1571 Dual Disk Backup",@,,,19xx,"Jeffrey Sherman",@,,,,,,,,,,,,
@,,0d3998895b3253746e12c66f7bc9b44fa50eb64b,,,Matrix,@,,,1985,PP&S,@,a,"a utoboot",,,,,Kasettilamerit,,,,,
