"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
SFH,,002221aec914884d32c786387f50940985f03619,,,,,,,,,,,,,,,,,,,,,
tetris,,00a5cb5e188a7c77ca2a91c60bd1e995ac74dc75,,,,,,,,,,,,,,,,,,,,,
parchisp,,027b7a39ddb9f16abd80327b519181449da9e707,,,,,,,,,,,,,,,,,,,,,
CLASSIC2,,054318a0031754d32c3220aee79b79812cf7f74b,,,,,,,,,,,,,,,,,,,,,
BRICK,,05dbf7c1aa4e9c841a578d33b9d91d8bd4ffb1ef,,,,,,,,,,,,,,,,,,,,,
"Supernova Invaders",,0993930d61ab126faccc2c0d87ba0fdc5ea744be,,,,,,,,,,,,,,,,,,,,,
ganimedes,,0a8b44d435bee608b7a9b889f2f1cf68eb8e13ac,,,,,,,,,,,,,,,,,,,,,
magicmathsa,,0aaa70a1479ffe04bb62a471fdf829bdc4d9a041,,,,,,,,,,,,,,,,,,,,,
TROGLO,,0d510ced7560892eba5c6d6596a768ea6f56e145,,,,,,,,,,,,,,,,,,,,,
txikip,,0f62be0a09dddda3109b486a0ab5b4fd3f15c0ab,,,,,,,,,,,,,,,,,,,,,
"HeroQuest 8256",,0fd31f59e9971814f17f14b6327e344ab2519f78,,,,,,,,,,,,,,,,,,,,,
Blitz,,10b06e629dc1f923cb9b6ddddf12ac86ea582100,,,,,,,,,,,,,,,,,,,,,
BobB,,147c911e4f94d8cafdb4adb971f0ba9a7ead6140,,,,,,,,,,,,,,,,,,,,,
kalahap,,154b9aa78ffa58c0e92742b6d5204df6638f1ffc,,,,,,,,,,,,,,,,,,,,,
slider,,15b4afe9a9cca91938b759544200081f0de055f3,,,,,,,,,,,,,,,,,,,,,
Deadline,,16624cbe0cf7546da30ffd289bb2f68c49fb1c0d,,,,,,,,,,,,,,,,,,,,,
damdefep,,16fbfb6600a42b352f095a9fdd219bfa551470d0,,,,,,,,,,,,,,,,,,,,,
livingstone2,,17d141f9911a70131e8fc92f94f6775ba56e4d39,,,,,,,,,,,,,,,,,,,,,
Mutan,,18b219c846ef8d889e25d15059c90827b79d3a39,,,,,,,,,,,,,,,,,,,,,
perceval,,18d09cab70d50e0e9b2682ea751258fa47841120,,,,,,,,,,,,,,,,,,,,,
"CP-M Plus",,1b34dbd3fdb598a1f48d3c0d5075cc9c794a5113,,,,,,(v1.2),,,,,,,,,,,,,,,
"Knight OrcA",,1b80d6f13bf3704805e72260a30d92a7449acdf8,,,,,,,,,,,,,,,,,,,,,
APED,,1bd074cfe635efec9517a5a75155e9a27273fb36,,,APED,,,"(Disk 1 of 2)",1987,Arnor,,,,,,,,,,,,,
escarabp,,1d46f9d8e598d95c12c5e0c5c700f00b2ef60395,,,,,,,,,,,,,,,,,,,,,
Ace,,1f06991a7c2730b3e7ea1c5bf8eafeeec21d7d4f,,,,,,(1987)(Cascade),,,,,,,,,,,,,,,
Arañas,,1ffeb1101bcc69b0d9b17070919939a651e53cdc,,,,,,"(19xx)(Campos, J.V.)",,,,,,,,,,,,,,,
"Knight OrcB",,20063d4fa35fe1d1c92895c7b8567e14a8fd7d46,,,,,,,,,,,,,,,,,,,,,
JINXTER2,,20b92f8038cbe5e826e81aa6a56baa03adf6d44b,,,,,,,,,,,,,,,,,,,,,
polidiazpcw9512,,2213c7f21dc2f088e85caf3a2d6a422408e4c946,,,,,,,,,,,,,,,,,,,,,
APED,,2379c8f1372cf17b8c24357aa87d7aeddb20ac65,,,APED,,,"(Disk 2 of 2)",1987,Arnor,,,,,,,,,,,,,
GOT1,,24b07f2aabb97898843b1af94917426b16b4a15a,,,,,,,,,,,,,,,,,,,,,
"CP-M Plus",,24ed8e5dd074190316646ce8599a14d32750be65,,,,,,(v1.4),,,,,,,,,,,,,,,
"Sky War",,250cea71302f46b54e3fcabae8ef3afbd9f9cf04,,,,,,,,,,,,,,,,,,,,,
skywar,,250cea71302f46b54e3fcabae8ef3afbd9f9cf04,,,,,,,,,,,,,,,,,,,,,
sudokup,,255f9b104fbc1b0ba15e3a32c544dfa6d32902e9,,,,,,,,,,,,,,,,,,,,,
SportriB,,25b31940180daf8a5408e09d4cd06d64a6839ffe,,,,,,,,,,,,,,,,,,,,,
"Routeplanner v2.1",,263e284287df3af32b1216531f05736d997a9adb,,,Routeplanner,,,"v 2.1",19xx,"Systeme D",,,,,,,,,,,,,
CHRCRACK,,27c62338a5c0e0c008969bc0e544b119af3dbd96,,,,,,,,,,,,,,,,,,,,,
TAUIII,,2a17bf4bca8c470805ae9f1031d6cf6ca855d048,,,,,,,,,,,,,,,,,,,,,
Grandslam,,2a6bc27430ddb6bd02fc54a0101b1edc4393b5c1,,,,,,,,,,,,,,,,,,,,,
LastNinja2,,2c044934a2d8f60880a4608f5a76ac7ccf13dcb7,,,,,,,,,,,,,,,,,,,,,
Blocks,,2c9a1ebba95f8178d34459c4827c5db3eed35379,,,,,,,,,,,,,,,,,,,,,
"Trivial Pursuit Genus Edition",,2ca5af2f43da1ec7e79494f37a9c4ea18b6530a1,,,,,,"(PCW) 2",,,,,,,,,,,,,,,
"Abadía del Crimen, La",,2e2a3decc38d225bf63c2f8dcf9e43dd70158c52,,,,,,(2012)(Habisoft)[9512],,,,,,,,,,,,,,,
polidiazpcw8256,,3134f75f127a0c061e565c8a6ad30d48eea3e94f,,,,,,,,,,,,,,,,,,,,,
babosop,,32dedaffb9ee3738e6fb89d94ede8543050d934b,,,,,,,,,,,,,,,,,,,,,
Ummo,,349c9d14aa6c95f740729f557df6e8d663378af6,,,,,,,,,,,,,,,,,,,,,
lastmissionpcw,,36c126d04b39019297c296fb9c1c0a96830587ff,,,,,,,,,,,,,,,,,,,,,
robotsp,,377f7a98ba1453ca76c46cd35687e4fb4818d886,,,,,,,,,,,,,,,,,,,,,
conecta4,,38858eced00fb8e5809463064570557244272a18,,,,,,,,,,,,,,,,,,,,,
mastermp,,39744e7a857ae7f6c65838423518f6b0ee1ab63c,,,,,,,,,,,,,,,,,,,,,
hannoip,,39b131fb16c3d3bc497305328f7af9d026bdd4a2,,,,,,,,,,,,,,,,,,,,,
flipp,,3b502f9b49d96940af1fa7c07cba1148dc651fad,,,,,,,,,,,,,,,,,,,,,
maxgetap,,3b90dcc94accd90b3b47219ea129b891060d9b31,,,,,,,,,,,,,,,,,,,,,
jaia,,3bfbe23517a2dc831b0b18455a37f6c1bebf3b97,,,,,,,,,,,,,,,,,,,,,
"Rebelion de los Dioses",,3d13983d0c68213bc4af69549cbeec5dca113047,,,,,,(La),,,,,,,,,,,,,,,
demoler,,3d723401eaf11d92e9d66d842a9af0957180775d,,,,,,,,,,,,,,,,,,,,,
Planetfall,,3ddbeff1afda7e3ca377fbb7e9957ca91f4b9652,,,,,,,,,,,,,,,,,,,,,
redquest,,3eb48311314cb3b801f57e6d47a3277e7530cbba,,,,,,,,,,,,,,,,,,,,,
rescategolfopcw,,41c856c5c58ce181a342dc0413a68918e2430f42,,,,,,,,,,,,,,,,,,,,,
postehp,,4211195803cbbb41ae15d161d2c991ed12f57669,,,,,,,,,,,,,,,,,,,,,
tuma7,,48b9358ea336e91e4c6400bb5bef8fa171dcfdf9,,,,,,,,,,,,,,,,,,,,,
VERBIAGE,,48cfee4dbc0689c8944f018713860a941bf3936e,,,,,,,,,,,,,,,,,,,,,
scraluxp,,48d4badec78bab59e302eccf048abf257f2975a3,,,,,,,,,,,,,,,,,,,,,
ladder,,495da44329a3ab7d963f4105541e1e7897903b31,,,,,,,,,,,,,,,,,,,,,
Antigrad,,49ec447b47242dd1559a72b16b70752b6419dac4,,,,,,,,,,,,,,,,,,,,,
Sorcerer,,4b6e12184e0e62cd84c41339424912b687c831df,,,,,,,,,,,,,,,,,,,,,
stevedsnooker,,4d33252cfa941f0b8f6d48bf74eb1b6af8fc256c,,,,,,,,,,,,,,,,,,,,,
tankattacka,,4dfbab2967a940fbd8e284e6c1beeecf7999d590,,,,,,,,,,,,,,,,,,,,,
"Trivial Pursuit Genus Edition",,4ec07ed4b41c148bfff6b0c0efc3c1d9bd13dfd5,,,,,,"(PCW) 1",,,,,,,,,,,,,,,
fairlight,,50906d02b453c53e269765006d9f2cdfb6825588,,,,,,,,,,,,,,,,,,,,,
