"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,00ba347f71cccd6d38f012263b75fa6d17b0603c,,,"Omega Chase",@,,"Copyright Public Domain",1998,"Tumber, Christopher",@,,,inal,,,,,,,,,
@,,02cf9658c9347ae9c67f21f993834d0da620a2af,,,"All Your Base",@,,"Copyright Public Domain",2001,"Parssinen, Manu",@,,,,,,,,,,,,
@,,03cda3bdd0ffbbcbb3d11143188766211011c37c,,,"Vectrex Demo 1",@,,"Copyright Public Domain",2000,"Parssinen, Manu",@,,,,,,,,,,,,
@,,0406c13952fb0bd6adc68298ae163ebc6160484c,,,"Heads Up: Action Soccer",@,,,1983,GCE,@,,,,,,,,,,,,
@,,052d04ee81c9094c4677ae0562b9477dbda6f431,,,"Pythagorian Theorem",@,,"Copyright Public Domain",2003,"Mitchell, Rob",@,,,,,,,,,,,,
@,,0699ce4d4f79c1c372d643510a61ac43c02280da,,,"Mike's Molecules",@,,"Demo 1; Copyright Public Domain",1985,"Blackwell, Mike",@,a,"a 1",,,,,,,,,,
@,,06d86fe997bc013799da6cedd6aaf420ee5c62b9,,,Battlezone,@,,"Copyright Public Domain",2001,"Tumber, Christopher",@,,,,,,,,,,,,
@,,0758bfd187b449ff0111bd637ecebd33ea326bae,,,"Moon Lander",@,,"Demo 1; Copyright Public Domain",1997,"Clay Cowgill",@,,,,,,,,,,,,
@,,084e5161ec6db4df0cb3c4124dc5fa26a69fd423,,,"3-D Narrow Escape",@,,,1983,GCE,@,b,"b 3",,,,,,,,,,
@,,08e2df9f7769c16a4d730adf8d659f8ea4be7f9d,,,"Web Wars",@,,,1983,GCE,@,,,,,,,,,,,,
@,,08fa966dde129f43e328143d5ca352a026436201,,,"Tank Demo 2",@,,"Copyright Public Domain",2001,@,@,,,,,,,,,,,,
