"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,00056d18b3d231477139aaf572f62cf96e90fee3,,,"Sunrise Disk: Issue 17",@,,"(Disk 1 of 2)",19xx,Sunrise,nl,,,,,,,,,,,,
@,,001f060860570385ce24446386c300d4717862cd,,,"Lipstick Adventure 2",@,,"(Disk 1 of 3)",1990,Fairytale,jp,,,,,,,,,,,,
@,,0040e4397ee10d7085e4842b5fed95c6e078bcc3,,,"Ancient Ys Vanished III: Wanderers from Ys",@,,"(Disk 5 of 5); (User Disk)",1989,Falcom,@,,,,,,,,,,,,
@,,00422d4b82dfdac398063a0937b169275f0c656b,,,"J.B. Harold 2: Manhattan Requiem: Angels Flying in the Dark",@,,,1988,"Riverhill Soft",jp,,,,,,,,,,,,
@,,004ebc650359d7a51c220e49c7f7c72ade14117a,,,Crimson,@,,,1987,Scaptrust,jp,b,"b 1",,,,,,,,,,
@,,0067f7edef0735989ecdd9d535040332fc8bdfac,,,"Erotic Pac #1",@,,"(Disk 1 of 2)",1989,"Sink System",fr,,,,,,,,,,,,
@,,007841e46ab1764c242e61701fffbe7b3969c9e5,,,"Colpo Grosso",@,,,1988,"Mad Soft",it,a,"a 1",,,,,,,,,,
@,,00794e38626190d490c2998948af3028d8baeff3,,,"Nobunaga no Yabou 3: Bushou Fuuun Roku",@,,"(Disk 2 of 2)",1991,Koei,jp,,,,,,,,,,,,
@,,0081ea0d25bc5cd8d70b60ad8cfdc7307812c0fd,,,"MSX System v2.0 + MSX BASIC Japanese",@,,,1985,Microsoft,us,,[MSX2.ROM],,,,,,,,,,
@,,0091a96c33cade4a2c2664b843baba65414354d9,,,"Dragon Slayer 5: Sorcerian",@,,"(Disk 1 of 5); (Game Disk)",1987,Falcom,jp,,,,1,,,,,,,,
@,,0099e19140c8ec226504866a0035de6e9b1fc49a,,,"Inindo Datou Nobunaga. Way of the Ninja",@,,"(Disk 1 of 3)",1991,Koei,jp,,,,,,,,,,,,
@,,00a1764baffffc00be2d29cffb3d0c940d16fb2b,,,"Games Collection, The: CD Version: 14: Discovery",@,,,1988,Eurosoft,@,,[Martos],,,,,,,,,,
@,,00a1fa6e40369afa26ee610dff509ce408dc0047,,,Zoids,@,,,1988,Toshiba-EMI,jp,,,,,,,,,,,,
@,,00a320922c1a5087cc7febacae6a12ec4ae26ebc,,,"Metal Gear 2: Solid Snake",@,,"v 2.1",1990,Konami,jp,,[SCC],,,,,,,,,,
@,,00b12a050c33b72fa3f1afae1c31e43f8ec72a5a,,,"Giddy Runner",@,,,1990,"A.R.E. System",@,a,"a 1",,,,,,,,,,
@,,00c70cf37c71cb8f99567ae407ff6dd52c4774c2,,,"Tengoku Yoitoko. Heaven",@,,,1987,Taito,jp,,,,,,,,,,,,
@,,00d71eed90dc8bc7b4fabde9477c4df98fe70b6b,,,Palamedes,@,,,1990,Hot-B,jp,,,,,,,,,,,,
@,,00e77fbf179d8cebfb78d1f277bec7b1583bbaca,,,"Xak III: The Tower of Gazzel",@,,,1991,"Micro Cabin",jp,,"[4 disks]",,,,,,,,,,
@,,00f0ee899cd7b9d70e97bebac83a0aebde570952,,,"Games Collection, The: Tape 4 Side B: Bank Buster",@,,,1988,Eurosoft,nl,,[RUN'CAS-'],,,,,,,,,,
@,,00f86b4baa57b2378ae60c4cb66207a026e111be,,,Phantasie,@,,,1988,Bothtec,jp,,,,,,,,,,,,
@,,01362ed154717acff0084f14ea153b65911157c6,,,"Nobunaga no Yabou: Zenkoku Han",@,,"(Disk 1 of 2)",1987,Koei,jp,a,"a 2",,,,,,,,,,
